Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score
378,284,Austerlitz,W. G. Sebald,2001,German,German,200-300,128000,378,673
379,441,Gypsy Ballads,Federico García Lorca,1928,Spanish,Spanish,64,,379,671
380,821,Relativity,Albert Einstein,1916,German,German,130-150,30000,380,671
381,180,War of the Worlds,H. G. Wells,1898,British,English,200-300,60000,381,670
382,2031,The Phantom Tollbooth,Norton Juster,1961,American,English,256,39000,382,668
383,942,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,German,German,100-200,64000,383,666
384,239,Parade's End,Ford Madox Ford,1924,British,English,800-900,200000,384,665
385,184,Atlas Shrugged,Ayn Rand,1957,American,English,1000-1200,645000,385,665
386,254,The Postman Always Rings Twice,James M. Cain,1934,American,English,100-200,37000,386,664
387,2294,"Life, a User's Manual",Georges Perec,1978,French,French,500-600,156000,387,664
388,2382,The Confusions of Young Törless,Robert Musil,1906,Austrian,German,150-300,70000,388,662
389,450,The Devil to Pay in the Backlands,Joao Guimaraes Rosa,1956,Brazilian,Portuguese,500-600,600000,389,662
390,222,Jude the Obscure,Thomas Hardy,1895,British,English,400-500,145000,390,661
391,2144,The Razor's Edge,W. Somerset Maugham,1944,British,English,300-400,84000,391,661
392,490,Ramayana,Valmiki,-200,Indian,Sanskrit,500-2000,24000,392,658
393,479,Season of Migration to the North,Al-Tayyib Salih,1966,Sudanese,Arabic,139-169,50000,393,655
394,737,The Second World War,Winston Churchill,1948,British,English,3000-3500,1250000,394,654
395,1485,The Feminine Mystique,Betty Friedan,1963,American,English,300-400,178000,395,651
396,879,Das Kapital,Karl Marx,1867,German,German,153,330000,396,650
397,9410,Le Grand Meaulnes,Henri Alain-Fournier,1913,French,French,200-300,47000,397,650
398,2733,The Federalist Papers,"Alexander Hamilton, James Madison, John Jay",1787,American,English,400-500,85000,398,649
399,2923,We,Yevgeny Zamyatin,1924,Russian,Russian,200-300,50000,399,646
400,2336,Notes from the Underground,Fyodor Dostoevsky,1864,Russian,Russian,70-150,67000,400,646
401,2602,Hopscotch,Julio Cortazar,1963,Argentinian,Spanish,564,155000,401,643
402,2105,Nightwood,Djuna Barnes,1936,American,English,160-200,50000,402,641
403,2469,The Alchemist,Paulo Coelho,1988,Brazilian,Portuguese,163-208,45000,403,640
404,2880,Amerika,Franz Kafka,1927,Czech,German,336,78000,404,638
405,4568,The Silence of the Lambs,Thomas Harris,1988,American,English,350-450,110942,405,637
406,3816,Joseph and His Brothers,Thomas Mann,1933,German,German,1200-1500,365000,406,636
407,2327,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,1910,German,German,200-300,50000,407,635
408,2457,Eugene Onegin,Alexander Pushkin,1833,Russian,Russian,200-300,49000,408,632
409,3034,The Prophet,Kahlil Gibran,1923,Lebanese,English,90-130,12000,409,631
410,2559,Collected Poems,Wallace Stevens,1954,American,English,300-500,,410,631
411,1151,Critique of Pure Reason,Immanuel Kant,1781,German,German,500-800,120000,411,627
412,71,Play It As It Lays,Joan Didion,1970,American,English,200-250,56000,412,627
413,2826,The Adventures of Tom Sawyer,Mark Twain,1876,American,English,180-250,70400,413,621
414,3456,The Ragged Trousered Philanthropists,"Robert Tressell, Peter Miles",1914,British,English,704,250000,414,620
415,496,The Fall,Albert Camus,1956,French,French,140-160,26000,415,620
416,2151,Stranger in a Strange Land,Robert A. Heinlein,1961,American,English,408-528,220000,416,620
417,1318,Man's Search for Meaning,Viktor Frankl,1946,Austrian,German,100-200,42000,417,619
418,3778,Passing,Nella Larsen,1929,American,English,95-122,38878,418,617
419,844,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921,Austrian,German,70-80,30000,419,616
420,2620,Bartleby the Scrivener,Herman Melville,1853,American,English,30-50,35000,420,616
421,600,Oedipus at Colonus,Sophocles,-401,Greek,Ancient greek,80-120,,421,615
422,509,Another Country,James Baldwin,1962,American,English,400-448,166121,422,614
423,3683,Melmoth the Wanderer,Charles Robert Maturin,1820,British,English,600-700,220000,423,613
424,1043,The Year of Magical Thinking,Joan Didion,2005,American,English,227-240,64500,424,612
425,1679,Pensées,Blaise Pascal,1670,French,French,444,70000,425,612
426,2145,Nine Stories,J. D. Salinger,1953,American,English,200-300,63000,426,611
427,2448,The Savage Detectives,Roberto Bolaño,1998,Chilean,Spanish,500-600,208000,427,611
428,733,Eminent Victorians,Lytton Strachey,1918,British,English,200-300,64500,428,610
429,2613,Fortunata and Jacinta,Benito Pérez Galdós,1887,Spanish,Spanish,800-1000,267000,429,608
430,2343,The Glass Bead Game,Hermann Hesse,1943,German,German,500-600,137000,430,608
431,1696,The Unnamable,Samuel Beckett,1953,Irish,French,100-150,27000,431,607
432,452,A Doll's House,Henrik Ibsen,1879,Norwegian,Norwegian,70-100,30000,432,606
433,2443,The Code of the Woosters,P. G. Wodehouse,1938,British,English,200-300,59670,433,606
434,2365,Household Tales,Brothers Grimm,1812,German,German,200-300,160000,434,605
435,947,The Betrothed,Alessandro Manzoni,1827,Italian,Italian,720-900,322000,435,604
436,2334,Stories of Ernest Hemingway,Ernest Hemingway,1987,American,English,650,,436,604
437,2850,Casino Royale,Ian Fleming,1953,British,English,192-240,58240,437,603
438,2037,A Visit From The Goon Squad,Jennifer Egan,2010,American,English,288-352,108000,438,598
439,881,The Social Contract,Jean-Jacques Rousseau,1762,French,French,150-200,50000,439,597
440,520,The Affluent Society,John Kenneth Galbraith,1958,American,English,200-300,103000,440,591
441,1606,Parallel Lives,Plutarch,-100,Greek,Greek,500-700,,441,590
442,2000,A Brief History of Time,Stephen Hawking,1988,British,English,200-256,41000,442,589
443,2497,The Hunchback of Notre-Dame,Victor Hugo,1831,French,French,300-500,183000,443,588
444,2635,Poems by Machado,Antonio Machado,1907,Spanish,Spanish,100-150,,444,586
445,1940,The Joy Luck Club,Amy Tan,1989,American,English,288-332,91084,445,586
446,327,Jacques the Fatalist and His Master,Denis Diderot,1796,French,French,200-300,117000,446,584
447,3043,Complete Poems,Elizabeth Bishop,1969,American,English,200-300,,447,584
448,3928,Ada or Ardor,Vladimir Nabokov,1969,American,English,589-624,144000,448,584
449,2604,Poet in New York,Federico García Lorca,1940,Spanish,Spanish,50-100,,449,583
450,238,The Secret Agent,Joseph Conrad,1907,British,English,320,105672,450,581
451,1303,Persepolis,Marjane Satrapi,2000,Iranian,French,153,,451,580
452,2277,Froth on the daydream,Boris Vian,1947,French,French,200-300,36000,452,579
453,2593,Facundo,Domingo Faustino Sarmiento,1845,Argentinian,Spanish,250-350,,453,579
454,1603,De Rerum Natura,Lucretius,55,Roman,Latin,200-300,74000,454,578
455,3051,The Princess Bride,William Goldman,1973,American,English,200-500,107253,455,576
456,2618,Bouvard et Pécuchet,Gustave Flaubert,1881,French,French,350-450,134203,456,575
457,1495,On Liberty,John Stuart Mill,1859,British,English,100-150,59000,457,574
458,1269,Dubliners,James Joyce,1914,Irish,English,152-224,65000,458,572
